# number of loops and nodes per loop
# dont forget to include injection points and refniment regions
1 84
# boundary node locations
-1.0 -1.0 1
-0.8947368421052633 -1.0 1
-0.7894736842105263 -1.0 1
-0.6842105263157894 -1.0 1
-0.5789473684210527 -1.0 1
-0.4736842105263159 -1.0 1
-0.368421052631579 -1.0 1
-0.2631578947368421 -1.0 1
-0.1578947368421053 -1.0 1
-0.05263157894736853 -1.0 1
0.05263157894736836 -1.0 1
0.1578947368421053 -1.0 1
0.26315789473684204 -1.0 1
0.36842105263157876 -1.0 1
0.4736842105263157 -1.0 1
0.5789473684210527 -1.0 1
0.6842105263157894 -1.0 1
0.7894736842105261 -1.0 1
0.894736842105263 -1.0 1
1.0 -1.0 2
1.0 -0.9259222222222222 2
1.0 -0.8518444444444444 2
1.0 -0.7777666666666667 2
1.0 -0.7036888888888889 2
1.0 -0.6296111111111111 2
1.0 -0.5555333333333333 2
1.0 -0.48145555555555564 2
1.0 -0.4073777777777778 2
1.0 -0.3333 3
0.8816089922207244 -0.26763625895451354 3
0.7818936263537591 -0.19594396051858287 3
0.7101720039340484 -0.12037117142911907 3
0.6717233986788262 -0.040918196192559875 3
0.6717233986788262 0.040918196192559694 3
0.7101720039340484 0.12037117142911895 3
0.7818936263537595 0.19594396051858307 3
0.8816089922207242 0.26763625895451343 3
1.0 0.3333 4
1.0 0.4073777777777777 4
1.0 0.4814555555555555 4
1.0 0.5555333333333333 4
1.0 0.6296111111111111 4
1.0 0.7036888888888889 4
1.0 0.7777666666666666 4
1.0 0.8518444444444444 4
1.0 0.9259222222222222 4
1.0 1.0 5
0.8947368421052633 1.0 5
0.7894736842105263 1.0 5
0.6842105263157894 1.0 5
0.5789473684210527 1.0 5
0.4736842105263159 1.0 5
0.368421052631579 1.0 5
0.2631578947368421 1.0 5
0.1578947368421053 1.0 5
0.05263157894736853 1.0 5
-0.05263157894736836 1.0 5
-0.1578947368421053 1.0 5
-0.26315789473684204 1.0 5
-0.36842105263157876 1.0 5
-0.4736842105263157 1.0 5
-0.5789473684210527 1.0 5
-0.6842105263157894 1.0 5
-0.7894736842105261 1.0 5
-0.894736842105263 1.0 5
-1.0 1.0 6
-1.0 0.8947368421052633 6
-1.0 0.7894736842105263 6
-1.0 0.6842105263157894 6
-1.0 0.5789473684210527 6
-1.0 0.4736842105263159 6
-1.0 0.368421052631579 6
-1.0 0.2631578947368421 6
-1.0 0.1578947368421053 6
-1.0 0.05263157894736853 6
-1.0 -0.05263157894736836 6
-1.0 -0.1578947368421053 6
-1.0 -0.26315789473684204 6
-1.0 -0.36842105263157876 6
-1.0 -0.4736842105263157 6
-1.0 -0.5789473684210527 6
-1.0 -0.6842105263157894 6
-1.0 -0.7894736842105261 6
-1.0 -0.894736842105263 6
# number of injection loctions
1
# injection point locations
0 0
# number of refinement regions
0
